awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type,visited,latitude,longitude
The Tabelog Award 2024 Silver 受賞店,かぶと,池袋駅 462m , うなぎ,,"￥15,000～￥19,999","￥15,000～￥19,999",4.43,-,https://tabelog.com/tokyo/A1305/A130501/13016660/,完全予約制,,池袋駅西口を出て劇場通りを川越街道方面に進み郵便局を目指す。最初の道を左折しすぐ右手。 池袋駅から462m,,,カード不可 電子マネー不可 QRコード決済不可,"35.73375503866438,139.7090324849552",03-3983-8608,東京都豊島区池袋2-53-2 池袋ESビル 1F,1120,unagi,False,35.73375503866438,139.7090324849552
The Tabelog Award 2024 Bronze 受賞店,うなぎ 魚政,四ツ木駅 61m , うなぎ,紀州備長炭を使い、うなぎの旨みを逃がさず香ばしく焼き上げます。店主が吟味した鰻を是非どうぞ,"￥10,000～￥14,999","￥10,000～￥14,999",4.26,火曜日、水曜日,https://tabelog.com/tokyo/A1324/A132403/13035339/,完全予約制,※ご予約はweb予約のみとなり、お電話での予約は受け付けておりません。詳しくは公式ホームページをご覧下さい。(web予約が出来ないお客様は13:30又は20:00にご来店頂き、お代金を現金でお預かりさせて頂くご予約方法も御座います) ,京成押上線「四ツ木駅」下車　徒歩1分 四ツ木駅から61m,11:30 - 14:00L.O. 料理12:30 ドリンク13:00,■※ディナーの部の御飲食時間はご予約時間より2時間を目安とさせて頂いております。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.732086253470854,139.83555483502838",03-3695-5222,東京都葛飾区東四ツ木4-14-4 ,907,unagi,False,35.732086253470854,139.83555483502838
The Tabelog Award 2024 Bronze 受賞店,活鰻の店 つぐみ庵,駒込駅 478m , うなぎ、焼き鳥,,"￥15,000～￥19,999","￥15,000～￥19,999",4.25,月曜日,https://tabelog.com/tokyo/A1323/A132301/13080463/,完全予約制,,JR 駒込駅東口　徒歩7分 駒込駅から478m,12:00 - 14:00,■ 定休日月に1度日曜日休日（不定）,カード不可 電子マネー不可 QRコード決済不可,"35.73790863867566,139.75274888496654",03-3823-4591,東京都北区中里1-29-1 ,197,unagi,False,35.73790863867566,139.75274888496654
食べログ うなぎ 百名店 2024 選出店,参宮橋 あさや,参宮橋駅 39m , うなぎ,,"￥30,000～￥39,999","￥30,000～￥39,999",3.89,-,https://tabelog.com/tokyo/A1318/A131810/13289291/,予約可,,参宮橋駅徒歩1分 参宮橋駅から39m,,,カード可 電子マネー可 QRコード決済不可,"35.67851603869447,139.69334828440824",不明の為情報お待ちしております,東京都渋谷区代々木4-6-5 A&U 1F,124,unagi,False,35.67851603869447,139.69334828440824
食べログ うなぎ 百名店 2024 選出店,鰻家,東長崎駅 243m , うなぎ,,"￥6,000～￥7,999","￥6,000～￥7,999",3.88,金曜日,https://tabelog.com/tokyo/A1321/A132101/13012445/,予約可,,西武池袋線「東長崎駅」南口から徒歩４分。都営地下鉄大江戸線　落合南長崎駅（Ａ２出口）から徒歩10分 東長崎駅から243m,11:30 - 20:30L.O. 20:00,2024年11月1日より定休日毎週木・金曜日2024年12月1日より営業時間11：30～14:30 (L.O 14:00)17:00～ 20:30 (L.O 20:00),カード不可 電子マネー不可 QRコード決済不可,"35.72805533865948,139.68226278491642",03-3953-0049,東京都豊島区南長崎5-18-17 ,866,unagi,False,35.72805533865948,139.68226278491642
食べログ うなぎ 百名店 2024 選出店,わたべ,春日駅 251m , うなぎ、海鮮、日本料理,,"￥6,000～￥7,999","￥6,000～￥7,999",3.84,水曜日、木曜日,https://tabelog.com/tokyo/A1310/A131003/13042184/,予約可,夜のご予約の際、うなぎを蒸してから焼いておりますので、少々お時間がかかります。お急ぎの方はご予約の際にうなぎの注文も併せてご予約ください。,都営三田線「春日駅」Ａ５出口より徒歩1分都営地下鉄大江戸線「春日駅」Ａ５出口より徒歩１分東京メトロ南北線「後楽園」８番出口より徒歩３分東京メトロ丸の内線「後楽園」駅徒歩５分 春日駅から251m,,,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）,"35.71131903869233,139.7520742846984",03-3812-7448,東京都文京区小石川1-9-14 アトラスタワー小石川 1Ｆ,453,unagi,False,35.71131903869233,139.7520742846984
食べログ うなぎ 百名店 2024 選出店,うなぎ時任,麻布十番駅 248m , うなぎ、日本料理、フレンチ,世界初のうなぎフレンチ割烹『温故知新を大切に、時流に合わせたNEW STANDARD』,"￥15,000～￥19,999","￥15,000～￥19,999",3.83,,https://tabelog.com/tokyo/A1307/A130702/13224663/,予約可,"アレルギーや苦手な食材は予めお申し付けください。コースは、一斉スタートになりますのでお時間の厳守をお願いします。キャンセルは、３日前よりお料理代金の100％頂戴いたします。お席のみのご予約でも、キャンセル料を頂戴しております（お一人様5,000円）。",都営大江戸線/東京メトロ南北線「麻布十番駅」4番出口　徒歩7分 麻布十番駅から248m,18:00 - 20:30,■ 営業時間[月]・ディナー 　20:30完全閉店[火～土]・ランチ　　鰻重は売切れ次第終了・ディナー　20:30完全閉店*ランチ、ディナーともにコース一斉スタートになります■ 定休日土用の丑の日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.656229238721345,139.7333145841551",03-6812-9671,東京都港区麻布十番2-5-11 AZABUMAISON201,427,unagi,False,35.656229238721345,139.7333145841551
食べログ うなぎ 百名店 2024 選出店,尾花,南千住駅 332m , うなぎ,本物に拘った正統派うな重,"￥10,000～￥14,999","￥10,000～￥14,999",3.78,月曜日、火曜日,https://tabelog.com/tokyo/A1324/A132401/13003509/,予約不可,,JR常磐線・東京メトロ日比谷線・TX「南千住駅」徒歩4～5分 南千住駅から332m,11:30 - 13:30,■ 営業時間2016年4月1日より、土・日・祝日の営業時間変更いずれもウナギがなくなり次第終了■ 定休日2023年5月10日〜15日 臨時休業,カード不可 電子マネー不可 QRコード決済不可,"35.73162833869371,139.79689108487213",03-3801-4670,東京都荒川区南千住5-33-1 ,1435,unagi,False,35.73162833869371,139.79689108487213
食べログ うなぎ 百名店 2024 選出店,入谷鬼子母神門前のだや,入谷駅 156m , うなぎ、海鮮、日本料理,創業明治元年の調理士会直営店です! 鰻料理人総本家の当主が魅せます『匠の技』をご賞味下さい!,"￥10,000～￥14,999","￥10,000～￥14,999",3.77,,https://tabelog.com/tokyo/A1311/A131104/13152282/,予約可,〇下記①~⑤は「席のみ予約のお客様」への注意事項です①ご予約来店のお客様のサービス品のご注文は承れません。②お客様の人数がお揃いになりませんと、うな重の注文は承れません。(飲み物や一品料理は可)③お席がご用意出き次第のご案内とさせて頂きますので、お待ちいただく場合がございます。④お席のみ予約の方は、コースのご注文は出来ません。⑤2階席は階段での昇り降りとなります、ご注意下さい。,東京メトロ日比谷線「入谷駅」2番出口出て右折2ブロック（徒歩30秒）JR「鶯谷駅」南口徒歩5分言問通り沿い入谷鬼子母神様門前 入谷駅から156m,11:00 - 14:00,■ 営業時間※売切仕舞いもございます※当店は活鰻調理の鮮度を重視して産地直送していますので、“順次売切れ”の「うな重」が都度ございますのでお早めのご来店をお勧め致します。何卒、お客様皆様のご理解をお願い致します。■ 定休日毎週月曜日（祝祭日の場合、翌火曜日休みとなります。）また月に数回不定休日もございます。11月の休業日は11/5（火）11/11（月）11/18（月）11/25(月) です。お客様に措かれましてはご理解の程をお願い申し上げます。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"35.720286638696514,139.78308288476725",03-3874-1855,東京都台東区下谷2-3-1 ,860,unagi,False,35.720286638696514,139.78308288476725
食べログ うなぎ 百名店 2024 選出店,鰻禅,本所吾妻橋駅 122m , うなぎ,鰻は注文を受けてから割く。ふっくらとした上品な味わいに、技とこだわりが凝縮された下町の名店,-,-,3.75,月曜日、木曜日,https://tabelog.com/tokyo/A1312/A131203/13058979/,予約不可,平日は予約可能（夏は不可の可能性あり）土日は予約不可,・東武伊勢崎線・東京メトロ銀座線「浅草駅」から徒歩7分・都営浅草線「本所吾妻橋駅」A4出口から徒歩1分、A5出口も可 本所吾妻橋駅から122m,11:00 - 16:00,■ 営業時間売り切れて店仕舞いになることあり■ 定休日月曜日・木曜日(月曜に限り、祝祭日の場合営業)■ 補足①：時間について入店後に調理のため（作り置きではないため）、席についてからも待ちます（30分以上？）。一度に調理できる数も限られているため、前の調理次第でさらに時間がかかることもあります。その分、新鮮で臭みもなく、ふわふわの鰻重を堪能できます。■ 補足②：開店前の並び方について開店前に並ぶ場合は、特に並び方にルールもなく、日によって異なります（前の人にそって並べばOKのよう）。並んでいると11時前くらいに女将さんが注文を取りにきます。■ 補足③：満席の場合についてお店で受付し、席の用意ができ次第、携帯に電話連絡するシステム。なお、海外の方は、席の用意ができそうな時間を伝え、その時間に戻ってきてもらうシステム。,カード不可 電子マネー不可 QRコード決済不可,"35.708882381244315,139.80573949064933",03-3624-0475,東京都墨田区吾妻橋3-6-18 ,824,unagi,False,35.708882381244315,139.80573949064933
